Cluster Size, Frequency
1, 812462
2, 39540
3, 8741
4, 3590
5, 1951
6, 1190
7, 891
8, 632
9, 492
10, 392
11, 340
12, 270
13, 232
14, 231
15, 167
16, 157
17, 139
18, 105
19, 109
20, 98
21, 105
22, 100
23, 67
24, 70
25, 73
26, 57
27, 70
28, 77
29, 50
30, 48
31, 42
32, 53
33, 71
34, 64
35, 61
36, 45
37, 52
38, 31
39, 40
40, 36
41, 46
42, 47
43, 44
44, 36
45, 49
46, 38
47, 44
48, 53
49, 31
50, 33
51, 38
52, 28
53, 36
54, 35
55, 52
56, 47
57, 42
58, 37
59, 31
60, 61
61, 37
62, 48
63, 28
64, 38
65, 37
66, 50
67, 34
68, 37
69, 51
70, 38
71, 39
72, 38
73, 37
74, 24
75, 36
76, 29
77, 38
78, 33
79, 25
80, 26
81, 36
82, 33
83, 36
84, 28
85, 34
86, 37
87, 35
88, 43
89, 20
90, 25
91, 45
92, 30
93, 34
94, 41
95, 41
96, 35
97, 19
98, 35
99, 23
100, 31
101, 38
102, 27
103, 22
104, 33
105, 24
106, 29
107, 29
108, 33
109, 26
110, 24
111, 19
112, 30
113, 31
114, 26
115, 15
116, 16
117, 21
118, 18
119, 20
120, 13
121, 24
122, 25
123, 17
124, 19
125, 29
126, 21
127, 17
128, 17
129, 10
130, 15
131, 7
132, 25
133, 13
134, 10
135, 12
136, 23
137, 14
138, 7
139, 11
140, 11
141, 13
142, 10
143, 7
144, 9
145, 11
146, 21
147, 12
148, 6
149, 11
150, 8
151, 14
152, 8
153, 8
154, 13
155, 3
156, 4
157, 7
158, 8
159, 7
160, 8
161, 6
162, 4
163, 5
164, 7
165, 3
166, 8
167, 6
168, 7
169, 8
170, 7
171, 2
172, 1
173, 4
174, 1
175, 6
176, 7
177, 3
178, 3
179, 5
180, 1
181, 10
182, 5
183, 5
184, 2
185, 4
186, 1
187, 5
188, 2
189, 3
190, 3
191, 2
192, 5
194, 1
195, 3
196, 1
198, 5
199, 1
200, 3
202, 1
203, 2
207, 1
208, 1
209, 3
212, 1
214, 1
216, 1
217, 1
219, 1
221, 1
222, 1
223, 1
226, 2
227, 2
230, 2
232, 1
234, 2
235, 1
236, 1
237, 1
238, 1
241, 2
243, 2
247, 1
252, 2
256, 1
258, 1
259, 1
263, 1
266, 1
271, 1
278, 1
280, 1
282, 1
309, 1
310, 1
311, 1
315, 1
453, 1



